frequency,left_tail_multiplier,log_scale,perc_c_1,perc_c_2,perc_c_3,perc_c_4,perc_p_1,perc_p_2,perc_p_3,perc_p_4,perc_s_1,perc_s_3,perc_s_4,perc_s_5,right_tail_multiplier
365,0.0,True,100.0,100.0,26.08695652173913,5.0,100.0,100.0,27.272727272727273,0.0,59.09090909090909,33.333333333333336,30.0,14.285714285714286,0.0
365,0.0,True,100.0,100.0,26.08695652173913,5.0,100.0,100.0,27.272727272727273,0.0,40.90909090909091,33.333333333333336,0.0,4.761904761904762,0.1
365,0.0,True,100.0,100.0,26.08695652173913,5.0,100.0,100.0,0.0,0.0,86.36363636363636,33.333333333333336,35.0,47.61904761904762,-0.2
365,0.0,True,100.0,100.0,26.08695652173913,5.0,100.0,100.0,0.0,0.0,100.0,33.333333333333336,80.0,90.47619047619048,-0.8
365,0.0,True,100.0,100.0,26.08695652173913,5.0,68.18181818181819,100.0,0.0,0.0,100.0,33.333333333333336,90.0,100.0,-1.0
365,0.0,False,100.0,100.0,34.78260869565217,40.0,100.0,100.0,54.54545454545455,0.0,18.181818181818183,19.047619047619047,20.0,19.047619047619047,0.0
365,0.0,False,100.0,100.0,34.78260869565217,40.0,100.0,100.0,54.54545454545455,0.0,18.181818181818183,19.047619047619047,0.0,9.523809523809524,0.1
365,0.0,False,100.0,100.0,34.78260869565217,40.0,100.0,100.0,27.272727272727273,0.0,54.54545454545455,19.047619047619047,35.0,57.142857142857146,-0.2
365,0.0,False,100.0,100.0,34.78260869565217,40.0,68.18181818181819,100.0,0.0,0.0,100.0,19.047619047619047,80.0,100.0,-0.8
365,0.0,False,100.0,100.0,34.78260869565217,40.0,22.727272727272727,100.0,0.0,0.0,100.0,19.047619047619047,85.0,100.0,-1.0
365,0.1,True,100.0,100.0,34.78260869565217,10.0,100.0,100.0,27.272727272727273,0.0,59.09090909090909,14.285714285714286,30.0,14.285714285714286,0.0
365,0.1,True,100.0,100.0,34.78260869565217,10.0,100.0,100.0,27.272727272727273,0.0,40.90909090909091,14.285714285714286,0.0,4.761904761904762,0.1
365,0.1,True,100.0,100.0,34.78260869565217,10.0,100.0,100.0,0.0,0.0,86.36363636363636,14.285714285714286,35.0,47.61904761904762,-0.2
365,0.1,True,100.0,100.0,34.78260869565217,10.0,100.0,100.0,0.0,0.0,100.0,14.285714285714286,80.0,90.47619047619048,-0.8
365,0.1,True,100.0,100.0,34.78260869565217,10.0,68.18181818181819,100.0,0.0,0.0,100.0,14.285714285714286,90.0,100.0,-1.0
365,0.1,False,100.0,100.0,43.47826086956522,50.0,100.0,100.0,54.54545454545455,0.0,18.181818181818183,9.523809523809524,20.0,19.047619047619047,0.0
365,0.1,False,100.0,100.0,43.47826086956522,50.0,100.0,100.0,54.54545454545455,0.0,18.181818181818183,9.523809523809524,0.0,9.523809523809524,0.1
365,0.1,False,100.0,100.0,43.47826086956522,50.0,100.0,100.0,27.272727272727273,0.0,54.54545454545455,9.523809523809524,35.0,57.142857142857146,-0.2
365,0.1,False,100.0,100.0,43.47826086956522,50.0,68.18181818181819,100.0,0.0,0.0,100.0,9.523809523809524,80.0,100.0,-0.8
365,0.1,False,100.0,100.0,43.47826086956522,50.0,22.727272727272727,100.0,0.0,0.0,100.0,9.523809523809524,85.0,100.0,-1.0
365,-0.2,True,100.0,100.0,13.043478260869565,0.0,100.0,100.0,27.272727272727273,0.0,59.09090909090909,52.38095238095238,30.0,14.285714285714286,0.0
365,-0.2,True,100.0,100.0,13.043478260869565,0.0,100.0,100.0,27.272727272727273,0.0,40.90909090909091,52.38095238095238,0.0,4.761904761904762,0.1
365,-0.2,True,100.0,100.0,13.043478260869565,0.0,100.0,100.0,0.0,0.0,86.36363636363636,52.38095238095238,35.0,47.61904761904762,-0.2
365,-0.2,True,100.0,100.0,13.043478260869565,0.0,100.0,100.0,0.0,0.0,100.0,52.38095238095238,80.0,90.47619047619048,-0.8
365,-0.2,True,100.0,100.0,13.043478260869565,0.0,68.18181818181819,100.0,0.0,0.0,100.0,52.38095238095238,90.0,100.0,-1.0
365,-0.2,False,100.0,100.0,30.434782608695652,20.0,100.0,100.0,54.54545454545455,0.0,18.181818181818183,47.61904761904762,20.0,19.047619047619047,0.0
365,-0.2,False,100.0,100.0,30.434782608695652,20.0,100.0,100.0,54.54545454545455,0.0,18.181818181818183,47.61904761904762,0.0,9.523809523809524,0.1
365,-0.2,False,100.0,100.0,30.434782608695652,20.0,100.0,100.0,27.272727272727273,0.0,54.54545454545455,47.61904761904762,35.0,57.142857142857146,-0.2
365,-0.2,False,100.0,100.0,30.434782608695652,20.0,68.18181818181819,100.0,0.0,0.0,100.0,47.61904761904762,80.0,100.0,-0.8
365,-0.2,False,100.0,100.0,30.434782608695652,20.0,22.727272727272727,100.0,0.0,0.0,100.0,47.61904761904762,85.0,100.0,-1.0
365,-0.8,True,90.47619047619048,75.0,0.0,0.0,100.0,100.0,27.272727272727273,0.0,59.09090909090909,100.0,30.0,14.285714285714286,0.0
365,-0.8,True,90.47619047619048,75.0,0.0,0.0,100.0,100.0,27.272727272727273,0.0,40.90909090909091,100.0,0.0,4.761904761904762,0.1
365,-0.8,True,90.47619047619048,75.0,0.0,0.0,100.0,100.0,0.0,0.0,86.36363636363636,100.0,35.0,47.61904761904762,-0.2
365,-0.8,True,90.47619047619048,75.0,0.0,0.0,100.0,100.0,0.0,0.0,100.0,100.0,80.0,90.47619047619048,-0.8
