residual,gradient_2,gradient_4,gradient_8,gradient_16,gradient_32,Open,Date,label
1.7452865113980736,-2.81433980982767,-1.1374208402285988,-1.305220054712415,-0.7867950592030832,0.862505067849173,45.93,1956-10-24,pre_crisis
1.7146214153810915,-2.8746958879283246,-1.1812870702876967,-1.335615178303239,-0.8087457223196776,0.8424688374015522,45.849998,1956-10-25,pre_crisis
1.7812579667662616,-2.7435395759593595,-1.085963895959856,-1.2695652884252855,-0.7610460024199764,0.8860084140931952,46.27,1956-10-26,pre_crisis
1.8042429877921518,-2.6982996809524913,-1.0530839656417992,-1.2467826252165115,-0.7445928840932723,0.9010265695186048,46.400002,1956-10-29,pre_crisis
1.7710307864004327,-2.763669057913944,-1.1005938141748484,-1.279702429722116,-0.7683668140267177,0.8793260889334876,46.369999,1956-10-30,pre_crisis
1.5687800185524914,-3.1617458528924236,-1.389912285805712,-1.480172602118538,-0.913141787750722,0.7471777013802432,45.580002,1956-10-31,pre_crisis
1.77449671633806,-1.55955071973064,-1.2232386625377563,-1.417450168320231,-1.2804524867103682,0.9134911213391937,46.52,1956-11-01,pre_crisis
1.8782394656424908,-1.3553607352633747,-1.0748353017450412,-1.314620759763552,-1.206191439573593,0.9812754723545044,46.98,1956-11-02,pre_crisis
2.021449801434978,-1.0734893135295094,-0.8699738027549548,-1.172671233387197,-1.1036787380299768,1.0748475025490416,47.599998,1956-11-05,pre_crisis
1.8989351886314483,-1.3146267140041792,-1.0452301980998344,-1.2941072398416689,-1.1913770446330594,0.9947978260708351,47.110001,1956-11-07,pre_crisis
1.8064010644184696,-1.4967555038465856,-1.177599690071936,-1.3858267029167088,-1.2576147432289912,0.9343370652118685,46.73,1956-11-08,pre_crisis
1.699808000573679,-1.7065555736993367,-1.3300804081733966,-1.4914813321307432,-1.3339161001113196,0.8646903505846119,46.34,1956-11-09,pre_crisis
1.7311617340659018,-1.644844096052057,-1.2852290864680997,-1.4604036337598623,-1.3114724970991483,0.8851765290493903,46.490002,1956-11-12,pre_crisis
1.707631860435827,-1.6911563883640992,-1.3188884250642274,-1.4837263527452043,-1.328315631356539,0.869802373031927,46.27,1956-11-13,pre_crisis
