index,Date,Open,High,Low,Close,Adj Close,Volume,Date_str,label,residuals,seasonal,trend
402,1952-08-11,25.52,25.52,25.52,25.52,25.52,1160000,1952-08-11,standard,1.015068036815356,1.0045797437873987,3.176825659324463
403,1952-08-12,25.309999,25.309999,25.309999,25.309999,25.309999,1110000,1952-08-12,standard,1.0123514887071774,1.0046304873195493,3.17706498642592
404,1952-08-13,25.280001,25.280001,25.280001,25.280001,25.280001,990000,1952-08-13,standard,1.0119026649156744,1.004629650811748,3.177310226743887
405,1952-08-14,25.280001,25.280001,25.280001,25.280001,25.280001,930000,1952-08-14,standard,1.0117444916167464,1.0047103071611905,3.177551849853645
406,1952-08-15,25.200001,25.200001,25.200001,25.200001,25.200001,890000,1952-08-15,standard,1.010484909842832,1.0049017588687705,3.177785185631841
407,1952-08-18,24.940001,24.940001,24.940001,24.940001,24.940001,1090000,1952-08-18,standard,1.0072638521276625,1.0048006459266468,3.1780209316549004
408,1952-08-19,24.889999,24.889999,24.889999,24.889999,24.889999,980000,1952-08-19,standard,1.006722392935986,1.0046355562875913,3.178268423530722
409,1952-08-20,24.950001,24.950001,24.950001,24.950001,24.950001,960000,1952-08-20,standard,1.0075273473610484,1.0045049034681388,3.178521313001097
410,1952-08-21,24.98,24.98,24.98,24.98,24.98,800000,1952-08-21,standard,1.0084431495846542,1.003889026933426,3.178769975317172
411,1952-08-22,24.99,24.99,24.99,24.99,24.99,910000,1952-08-22,standard,1.0082342802930153,1.0041452889810198,3.179012429522831
412,1952-08-25,24.870001,24.870001,24.870001,24.870001,24.870001,840000,1952-08-25,standard,1.006600978921856,1.0041920806768716,3.179260375341168
413,1952-08-26,24.83,24.83,24.83,24.83,24.83,890000,1952-08-26,standard,1.0058347562619696,1.0043708690201893,3.1795224971179037
414,1952-08-27,24.940001,24.940001,24.940001,24.940001,24.940001,930000,1952-08-27,standard,1.0067630258690263,1.0047385302380745,3.179798447719303
415,1952-08-28,24.969999,24.969999,24.969999,24.969999,24.969999,980000,1952-08-28,standard,1.0072588175364767,1.004531066844312,3.18007772222423
416,1952-08-29,25.030001,25.030001,25.030001,25.030001,25.030001,890000,1952-08-29,standard,1.0079841631007016,1.004475256641747,3.1803363625646974
417,1952-09-02,25.15,25.15,25.15,25.15,25.15,970000,1952-09-02,standard,1.009343025015679,1.0045354117232403,3.180581620290435
418,1952-09-03,25.25,25.25,25.25,25.25,25.25,1200000,1952-09-03,standard,1.0106185452240235,1.0044230387041633,3.1808320123377447
419,1952-09-04,25.24,25.24,25.24,25.24,25.24,1120000,1952-09-04,standard,1.010184237025884,1.004652807221552,3.1810814548996875
420,1952-09-05,25.209999,25.209999,25.209999,25.209999,25.209999,1040000,1952-09-05,standard,1.0098318485434128,1.0045567304616683,3.181323450979522
421,1952-09-08,25.110001,25.110001,25.110001,25.110001,25.110001,1170000,1952-09-08,standard,1.0085314090139295,1.0045365312476922,3.181566555131661
422,1952-09-09,24.860001,24.860001,24.860001,24.860001,24.860001,1310000,1952-09-09,standard,1.0056905448964095,1.0041673153694557,3.1818187471183568
423,1952-09-10,24.690001,24.690001,24.690001,24.690001,24.690001,1590000,1952-09-10,standard,1.0038454923151894,1.0037797136270117,3.1820880162066403
424,1952-09-11,24.719999,24.719999,24.719999,24.719999,24.719999,970000,1952-09-11,standard,1.0041212662032275,1.0037944820838365,3.182371970504003
425,1952-09-12,24.709999,24.709999,24.709999,24.709999,24.709999,1040000,1952-09-12,standard,1.0037552876535514,1.0039450538285384,3.1826533118008338
426,1952-09-15,24.450001,24.450001,24.450001,24.450001,24.450001,1100000,1952-09-15,standard,1.0003429296577335,1.0039578589706286,3.1829367983378023
427,1952-09-16,24.530001,24.530001,24.530001,24.530001,24.530001,1140000,1952-09-16,standard,1.00127163156088,1.003959281603896,3.18322967426969
428,1952-09-17,24.58,24.58,24.58,24.58,24.58,1000000,1952-09-17,standard,1.0015233785704285,1.0042523921199624,3.1835251698838594
429,1952-09-18,24.51,24.51,24.51,24.51,24.51,1030000,1952-09-18,standard,0.999976382730359,1.0048208830105503,3.183807987054035
430,1952-09-19,24.57,24.57,24.57,24.57,24.57,1150000,1952-09-19,standard,1.0007207931091155,1.0047548519677685,3.184080379791324
431,1952-09-22,24.59,24.59,24.59,24.59,24.59,1160000,1952-09-22,standard,1.0013942558728777,1.004247327243817,3.18435618880124
432,1952-09-23,24.700001,24.700001,24.700001,24.700001,24.700001,1240000,1952-09-23,standard,1.0024487666772637,1.0045000110230622,3.184638843684553
433,1952-09-24,24.790001,24.790001,24.790001,24.790001,24.790001,1390000,1952-09-24,standard,1.0031873279886936,1.004808376111209,3.184925849944518
434,1952-09-25,24.809999,24.809999,24.809999,24.809999,24.809999,1210000,1952-09-25,standard,1.0029724705235874,1.005188242573373,3.185204098699535
435,1952-09-26,24.73,24.73,24.73,24.73,24.73,1180000,1952-09-26,standard,1.001793858964572,1.0052763883390796,3.1854649061370264
436,1952-09-29,24.68,24.68,24.68,24.68,24.68,970000,1952-09-29,standard,1.0012455790270625,1.0051116867815355,3.18572044387018
437,1952-09-30,24.540001,24.540001,24.540001,24.540001,24.540001,1120000,1952-09-30,standard,0.9997940238787283,1.0047029324899202,3.1859803516329155
438,1952-10-01,24.48,24.48,24.48,24.48,24.48,1060000,1952-10-01,standard,0.9989810491206746,1.0046687912537182,3.1862423395224964
439,1952-10-02,24.52,24.52,24.52,24.52,24.52,1040000,1952-10-02,standard,0.9990457825032526,1.005032977576945,3.186507415205579
440,1952-10-03,24.5,24.5,24.5,24.5,24.5,980000,1952-10-03,standard,0.9986392545996468,1.0051028887222184,3.186769895943497
441,1952-10-06,24.440001,24.440001,24.440001,24.440001,24.440001,1070000,1952-10-06,standard,0.9973649732134888,1.0055354839840234,3.1870238354010647
442,1952-10-07,24.4,24.4,24.4,24.4,24.4,950000,1952-10-07,standard,0.9972071776120087,1.0050997810277207,3.187275614955795
443,1952-10-08,24.58,24.58,24.58,24.58,24.58,1260000,1952-10-08,standard,0.9988315475363972,1.0056929867102822,3.187532208910638
444,1952-10-09,24.57,24.57,24.57,24.57,24.57,1090000,1952-10-09,standard,0.9986713003585316,1.0056455829227444,3.187788786923618
445,1952-10-10,24.549999,24.549999,24.549999,24.549999,24.549999,1070000,1952-10-10,standard,0.9984377743330417,1.0055470307720016,3.1880357390248544
